id	authors	year	title	journal	doi	pmid	language	languageGroup	country	recordType	recordTypeCode	caseShape	caseCount	caseCountNumeric	accessCode	accessLabel	publicLinkUrl	coConsciousness	amnesia	amnesiaDirectionality	voluntarySwitching	treatmentGoal	outcome	diagnosticDelayYears	psychosisPriorOrDifferential	moodPriorOrDifferential	bpdPriorOrDifferential	childAlters	oppositeSexAlters	nonHumanAlters	bilingualAlters
ROU_002	Dinu, L.G., Toma, R., Popa, I., Trifu, S.	2021	Multiple Personality: Dissociation Mechanism Opposite to Schizophrenia	Int J Research GRANTHAALAYAH, 9(4):529-541	10.29121/granthaalayah.v9.i4.2021.3896		English	English-language sources	Romania	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.29121/granthaalayah.v9.i4.2021.3896	yes	no	unclear	not_stated	integration_or_fusion	other_described		yes	no	no	not_stated	not_stated	not_stated	not_stated
SVN_001	_idanik, M.	2004	Multipla osebnost: prikaz primera	Zdravni_ki vestnik, 73(7-8):593-597			Slovenian	European and Latin-script non-English	Slovenia	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	yes	unclear	not_stated	other_described	integration_or_partial_integration		no	yes	no	yes	no	not_stated	not_stated
ZAF_001	Laubscher, J.J.	1928	A case of co-conscious personalities	J Medical Association of South Africa, 2:115-117			English	English-language sources	South Africa	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	uncertain_or_partial	asymmetric	partial	other_described	other_described		no	no	no	no	no	no	not_stated
ZAF_002	Gangdev, P.S., Matjane, M.	1996	Dissociative Disorders in Black South Africans: Report on Five Cases	Dissociation, IX(3):176-181			English	English-language sources	South Africa	Case series	case_series	Small Case Series	5	5	restricted_local_source	Restricted local full text on file		not_stated	yes	host_to_alter_predominant	not_stated	not_stated	not_stated		yes	yes	no	yes	not_stated	not_stated	not_stated
ZAF_003	Patel KM, Magula L	2025	Diagnostic difficulty in an adolescent with dissociative identity disorder	South African Journal of Psychiatry 31:a2333	10.4102/sajpsychiatry.v31i0.2333		English	English-language sources	South Africa	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.4102/sajpsychiatry.v31i0.2333	not_stated	yes	not_stated	not_stated	integration_or_fusion	improved_functioning		yes	yes	no	yes	not_stated	not_stated	not_stated
KOR_001	Lee, B.Y., Suh, K.R.	1994	_____ ____: ____ ______ __	____ (J Analytical Psychology), 8(2):1-42			Korean	East Asian languages	South Korea	Case series	case_series	Large Case Series	22	22	ocr_managed_source	OCR-managed source		not_stated	not_stated	not_stated	not_stated	other_described	mixed_or_variable		yes	no	no	not_stated	not_stated	yes	not_stated
KOR_005	Kim Sang-in	2016	Case study of Christian counseling for recovery from dissociative identity confusion	Bible and Theology 77:105-134	10.17156/BT.77.04		Korean	East Asian languages	South Korea	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.17156/BT.77.04	not_stated	yes	unclear	not_stated	integration_or_fusion	improved_functioning		no	no	no	not_stated	not_stated	not_stated	not_stated
KOR_006	Kim I, Kim D, Jung HJ	2016	Dissociative Identity Disorders in Korea: Two Recent Cases	Psychiatry Investigation 13(2):250-256	10.4306/pi.2016.13.2.250		English	English-language sources	South Korea	Case report	case_report	Two Case Report	2	2	external_link_available	External record link available	https://doi.org/10.4306/pi.2016.13.2.250	partial	yes	asymmetric	not_stated	safety_or_stabilization	other_described		no	no	no	yes	yes	not_stated	yes
KOR_007	Lee, S.H., Kang, N.R., & Moon, D.S.	2022	Dissociative identity disorder in an adolescent with nine alternate personality traits: A case study	Journal of the Korean Academy of Child and Adolescent Psychiatry	10.5765/jkacap.220005	35832863	English	English-language sources	South Korea	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://pmc.ncbi.nlm.nih.gov/articles/PMC9242847/	mixed_or_variable	yes	mixed_or_variable	not_stated	integration_or_fusion	improved_functioning		yes	yes	no	yes	not_stated	yes	not_stated
ESP_001	Unknown	2003	Personalidad m_ltiple: un caso raro en la pr_ctica forense	Cuadernos de Medicina Forense 31			Spanish	European and Latin-script non-English	Spain	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	unclear	not_stated	not_stated	other_described		no	no	no	not_stated	not_stated	not_stated	not_stated
ESP_002	Vidal, C.; Santed, A.; S_nchez, J.; Mattioli, G.; Serrano, M.J.	2006	Un caso cl_nico de Trastorno de Identidad Disociativo (TID) tratado con EMDR e ICV	Psiquiatria.com (online platform)	N/A		Spanish	European and Latin-script non-English	Spain	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://synapsepsicoterapia.wordpress.com/wp-content/uploads/2012/12/un-caso-clnico-de-tid-tratado-con-emdr-e-icv-conxi-vidal.pdf	partial	not_stated	not_stated	not_stated	integration_or_fusion	integration_or_partial_integration		no	yes	no	yes	not_stated	not_stated	not_stated
ESP_003	Rodrigo Manzano, J.A., Guerrero Jimenez, M., Carrillo de Albornoz Calahorro, C.M.	2016	Diagn_stico diferencial en un caso de Trastorno de Personalidad M_ltiple	Interpsiquis XVII (congress)			Spanish	European and Latin-script non-English	Spain	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	not_stated	not_stated	not_stated	not_stated		yes	yes	no	not_stated	not_stated	not_stated	not_stated
ESP_004	Fernandes Abreu, A., Nu_ez Sande, C., Pinal Fernandez, B., Martinez Alonso, B.	2017	La disociaci_n en ni_os y adolescentes: a prop_sito de dos casos	Rev Psiquiatr_a Infanto-Juvenil, 34(1):31-37	10.31766/revpsij.v34n1a4		Spanish	European and Latin-script non-English	Spain	Case report	case_report	Two Case Report	2	2	external_link_available	External record link available	https://doi.org/10.31766/revpsij.v34n1a4	not_stated	uncertain_or_partial	not_stated	not_stated	functioning_or_cooperation	improved_functioning		yes	yes	no	not_stated	not_stated	not_stated	not_stated
ESP_005	Unknown	2018	Yo soy tres. A prop_sito de un caso de trastorno de identidad disociativo	Psiquiatria Biol_gica 25(1):36-39			Spanish	European and Latin-script non-English	Spain	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		partial	yes	host_to_alter_predominant	not_stated	integration_or_fusion	other_described		no	no	no	yes	yes	not_stated	not_stated
ESP_006	Albarracin, P.; Herrero Pell_n, E.; Galer_n, R.; Huete Naval, M.; Serv_n, B.	2022	The conundrum of Identitive Dissociative Disorder: about a case	European Psychiatry	10.1192/j.eurpsy.2022.2255		English (Spanish authors, Spain case)	Other languages	Spain	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1192/j.eurpsy.2022.2255	not_stated	not_stated	not_stated	not_stated	diagnostic_clarification	not_stated		yes	no	no	not_stated	not_stated	not_stated	not_stated
ESP_007	Garcia Vazquez, P., Seijo Zazo, E., Vilella Martin, C., Serrano Garcia, A., Franch Pato, C.M., Martina Gil, E., & Alvarez Vazquez, C.	2023	An interesting clinical case. New therapies in Dissociative Identity Disorder	European Psychiatry	10.1192/j.eurpsy.2023.2064		English	English-language sources	Spain	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1192/j.eurpsy.2023.2064	not_stated	yes	not_stated	not_stated	safety_or_stabilization	other_described		no	no	no	not_stated	yes	yes	not_stated
ESP_008	Garc_a V_zquez, P.; Serrano Garc_a, A.; Vilella Mart_n, C.; Franch Pato, C.M.; G_mez Mart_nez, R.	2023	Empathic Resonance: A Case of Dissociative Identity Disorder (DID)	International Journal of Psychology and Psychological Therapy	N/A (IJPSY, Vol. 23, No. 3, pp. 333-337)		English (Spanish authors, Spain case)	Other languages	Spain	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/N/A (IJPSY, Vol. 23, No. 3, pp. 333-337)	not_stated	yes	not_stated	not_stated	other_described	other_described		no	no	no	not_stated	yes	yes	not_stated
ESP_009	Herrero Pell_n, E.; Albarrac_n Marcos, P.; Huete Naval, M.; Galer_n Guzm_n, R.; Mayor Sanabria, F.; Montes Montero, A.	2023	Reviewing the consistency of Dissociative Identity Disorder: a case report	European Psychiatry	10.1192/j.eurpsy.2023.2061		English (Spanish authors, Spain case)	Other languages	Spain	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1192/j.eurpsy.2023.2061	not_stated	yes	not_stated	not_stated	not_stated	not_stated		no	no	no	not_stated	not_stated	not_stated	not_stated
ESP_010	Us_n Hern_ndez, A.	2025	Trastorno disociativo de la personalidad en adolescente: caso cl_nico	Revista Sanitaria de Investigaci_n, 6(5)			Spanish	European and Latin-script non-English	Spain	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	unclear	not_stated	integration_or_fusion	not_stated		no	no	no	not_stated	not_stated	not_stated	not_stated
ESP_011	Unknown	~2020	Trastorno de identidad disociativo: a prop_sito de un caso	Revista de Psiquiatr_a Infanto-Juvenil (AEPNYA)			Spanish	European and Latin-script non-English	Spain	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		yes	yes	not_stated	not_stated	safety_or_stabilization	improved_functioning		no	no	no	not_stated	no	not_stated	not_stated
